,SigC800,SigBr730,EpsC800,EpsBr730,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,AvgMAPE
3064,0.22603,0.26382,0.28251,2.45654,0.7117590822179685,0.06620458891013069,-0.23398661567877949,0.0,-1.2490439770554491,-1.2710325047801176,-1.245936902485665,0.8193116634799228,-0.24450286806883273,2.4939291450911085
3065,0.52603,0.56382,0.77251,1.45654,-4.272227533460803,1.9949808795411041,-39.444192160611856,0.0,-30.033628107074573,-30.40150573613767,-58.3355879541109,-4.154397705544934,-39.22356596558318,55.13137282332335
3066,0.67603,0.41382,0.03751,2.95654,-23.197060229445505,2.8659177820267683,-7.298876673040152,0.0,-39.52782026768642,-41.15621414913958,-38.27619502868069,-22.04182600382409,-6.31104206500956,55.90637072392838
3067,0.37603,0.71382,0.52751,1.95654,93.69502868068832,5.25812619502868,-344.0621414913958,0.0,-64.37141491395792,-57.44024856596556,-353.04875717017205,86.26912045889097,-346.8214627151051,228.41442112552386
3068,0.30103,0.33882,0.89501,1.70654,0.6527246653919748,0.09249521988527735,-0.642208413001908,0.0,-1.3998565965583172,-1.4220841300191176,-1.7337476099426363,0.7571701720841315,-0.6503346080305936,2.8579822078002763
3069,0.60103,0.63882,0.40501,2.70654,9.182600382409168,4.710803059273404,-144.63575525812618,0.0,-74.69144359464627,-74.2545411089866,-185.41778202676863,8.073613766730421,-144.74545889101339,153.96067525798628
3070,0.45103,0.18882,0.65001,1.20654,-3.2801147227533503,0.5219885277246648,-1.130019120458893,0.0,-7.183317399617592,-7.456261950286807,-6.659655831739962,-3.0009560229445533,-0.9808795411089898,10.680464671834148
3071,0.15103,0.48882,0.16001,2.20654,4.299617590822182,0.19574569789675014,-13.82026768642447,0.0,-3.4717973231357506,-3.260038240917779,-15.073374760994264,4.1644837476099426,-13.962476099426382,10.833110530712958
3072,0.15073,0.26294,0.78065,2.52783,0.7241873804971322,0.06477055449331143,-0.22562141491395515,0.0,-1.240200764818354,-1.261472275334606,-1.235181644359466,0.8312619502868089,-0.236615678776286,2.4788872758097327
3073,0.45073,0.56294,0.29065,1.52783,7.741300191204591,0.6984942638623325,-38.34749043977055,0.0,-12.07467256214149,-11.687229923518164,-43.13979445506692,7.3381214149139575,-38.611830783938814,31.881523658012675
3074,0.60073,0.41294,0.53565,2.02783,-32.771988527724666,3.9376195028680674,-8.300908221797322,0.0,-54.33553991395793,-56.52489244741874,-51.14378585086042,-31.181739961759085,-6.96438814531549,75.94462447165954
3075,0.30073,0.71294,0.04565,1.02783,63.613766730401544,2.901529636711305,-234.60396749521988,0.0,-44.73709369024855,-39.95219885277248,-240.83269598470363,59.020076481835574,-236.6429254302103,156.69727171917722
3076,0.37573,0.33794,0.41315,1.27783,0.0492351816443568,0.15917782026768565,-0.7387667304015315,0.0,-2.307122370936907,-2.366634799235185,-2.523661567877628,0.1804493307839377,-0.7232313575525837,4.0912401179061435
3077,0.67573,0.63794,0.90315,2.27783,-84.01290630975143,14.87332695984704,-151.01577437858506,0.0,-207.3637667304015,-213.5014340344168,-296.67805927342255,-80.86759082217971,-147.42829827915867,332.36181265997124
