,ratio,rndint,degree,mape,r2
1960,0.2,180.0,1.0,0.14905045495190444,0.5614959335432994
1961,0.2,180.0,2.0,0.06350185637711299,0.9160217912690598
1962,0.2,180.0,3.0,0.03014949420675144,0.9800175790118014
1963,0.2,180.0,4.0,0.023433250692401823,0.9879489613337659
1964,0.2,180.0,5.0,0.015979179005124886,0.9941400011723416
1965,0.2,180.0,6.0,0.011422897850242902,0.9962886851521764
1966,0.2,180.0,7.0,0.010797146560687535,0.9962089115616801
1967,0.2,180.0,8.0,0.011966234636737242,0.9953566975820443
1968,0.2,180.0,9.0,0.014608722210485758,0.9933246744275347
1969,0.2,180.0,10.0,0.030976502243000248,0.9486612600393922
1970,0.2,510.0,1.0,0.1484218088081438,0.5736356908392556
1971,0.2,510.0,2.0,0.0642260203297269,0.9223628063560858
1972,0.2,510.0,3.0,0.03290152202412019,0.9787983455706861
1973,0.2,510.0,4.0,0.023291367153509702,0.9884891677680316
1974,0.2,510.0,5.0,0.016826733322751905,0.9939860139655801
1975,0.2,510.0,6.0,0.012298899730546478,0.9963926212462708
1976,0.2,510.0,7.0,0.011880337286722527,0.9961662326746907
1977,0.2,510.0,8.0,0.012685953812896526,0.9955262824905162
1978,0.2,510.0,9.0,0.018536671510513164,0.9817776525933891
1979,0.2,510.0,10.0,0.0401113639176954,0.8022869814442665
1980,0.2,593.0,1.0,0.15231375431292787,0.6215225992626787
1981,0.2,593.0,2.0,0.06791382134824706,0.9264883255365657
1982,0.2,593.0,3.0,0.034280748734334024,0.9803669812514861
